#step #energy #coulombic #rd #polar #vdw #kinetic #kin_temp #N #spin_ratio #volume #core_temp
0 2.268874 0.000000 0.000000 0.000000 0.000000 2.268874 2.000000 2.000000 0.000000 1000000.000000 2.000000
3 13.338393 0.000000 0.000000 0.000000 0.000000 13.338393 2.000000 2.000000 0.000000 1000000.000000 2.000000
